review_id,user_id,business_id,review/0/0,date,time,categories,city,state,stars,business_review_count,predicted_review_score,actual_yelp_score
G1R-wZSTfuKmjECPweBlog,SrwHXDUhVDAOeLUG1Tux5A,fJQHj9Sq1R0a9FO08q8HWw,worst fucking service ever. i walked in and was completely ignored. 3 ppl walked in after me and were greeted immediately. i would've never gotten my drink if i hadn't spoken up. i ordered my regular drink and it tasted like shit.,2020-05-27,18:24:40,"Coffee & Tea, Food",Nashville,TN,3,30,0.075,1
6kspElQoYsBaFTYDtv0lUw,LojDefMzt-_qhj-9ZjJqUw,uzhiTCvVaK_0fZwa7rWDzw,"Terrible service by Barista too busy chatting.
Manager was rude!
The place was empty and I've been served quicker in extremely busy Starbucks. 
I overheard the barista say 'it's my last day' so hopefully things might improve but I'm hugely surprised by the managers attitude because they are usually so good in Starbucks! 
My drink was wrong but it wasn't even worth mentioning!!",2016-11-05,20:48:47,"Food, Coffee & Tea",Tucson,AZ,4,39,1.025,1
eZjowtS53nHe1KBulkQ2sA,n7TlGclA7W8-UwZ0ozng0g,_8bELjUz5tnftBbXAxKyjA,Amazing this store is so funny. The workers laugh over everything I say! Come here! Pleaseeeeeeeeeee come here rn the people will love to assist you :),2021-04-07,02:43:40,"Coffee & Tea, Food",St. Louis,MO,3.5,34,4.9750000000000005,5
VSgDxCJcEwTXKJK4HaKQHg,xyI9DCVKW91P6RMLdan0KA,MeA_7cfxh9c7wczQHYQKeQ,"It is never a bad thing when a Starbucks has a drive thru.  

The service at this particular location is always fast and friendly and my order has never been messed up.  The location of the actual drive thru line seems to be in a bad location but it is functional none the less.",2012-11-01,15:35:16,"Coffee & Tea, Food",Edmonton,AB,2,11,3.275,4
XQ_ByAZ4oWCpxLIfYuntfA,ASPYq2tVrSgcnzk75uUOnw,QnVOsBJWKZ6nN79VbV6l2Q,"The drinks are well made, the staff is very friendly, but they are sooo slow in comparison to other locations.",2015-08-26,04:48:53,"Coffee & Tea, Food, Restaurants",Avon,IN,3,34,1.525,3
3p6C5aMSYz_6tH3pL34sdw,KSWnQIn93Aw44NTk4uSPJA,k4WBufHPsiz4HgmT_gwK3g,Truly the best Starbucks I have been to. They are always so sweet and understanding in there. You can tell they really care about the community with all of the programs they have going on in store. They give their grounds out for free for those who compost and have a sanitary product donation drive too. The store is always decorated for the season and has a pride flag year round. I love you market street Starbucks!,2021-05-11,14:17:49,"Restaurants, Coffee & Tea, Food, Cafes",Philadelphia,PA,3.5,35,4.7,5
aj89bCaQ9QuPOfz1zFOIvA,eEW50s64FBaNwdsWiREdKw,DTyeAYLV9YCc4mG5XTorTA,Do yourself a favor and download the app and place a mobile order! It seems like they will make everything that's ordered online before those who order in the store. This will save you 15+ min of waiting at all times throughout the day.,2017-10-25,00:03:45,"Food, Coffee & Tea",Philadelphia,PA,3,36,4.3,3
dhXyWHexsaakLLo3ABx_7Q,W0Z5KlA7YCfy8NLDbor6aA,elX9a3nvGMSweRaMWgSb0Q,My fav coffee. Won't go anywhere else for my cup of joe.,2013-04-14,18:59:12,"Coffee & Tea, Food",Santa Barbara,CA,3.5,92,4.925,5
DOlcqyRAUwuNzbrI85w8qw,pKksEJAIIC2FZpjKe9fhyQ,k7AoT14yuZZ9fFUtGNZ_1A,"A friendly local Starbucks near the U of A hospital. The location is small, even for a Starbucks. However, they do have an extra seating area outside the store, both on the walkway outside and in the commons of the building area inside. This is essential since its freaking cold in Edmonton and outdoor seating is basically useful only 4 months a year. 

The staff was friendly and the drink order made accurately. I also love the fact my Starbucks card is usable here even though I am from the US.",2017-11-22,19:37:42,"Food, Coffee & Tea",Edmonton,AB,4,8,3.875,4
57XvW7l_wiIKG18mmhxT0A,u8FTX0uDbDewm1RctRBrdg,OUvtfVGqDo8ZfD_eDVTALA,"The  barista did not know how to make a candy cane frappuccino, which is on their main menu.  For the past two times, my card has been declined there and only there,and it's kind of embarrassing, and inconvenient, because I have to charge a coffee to a credit card, when there are funds on my debit card, starbucks just can't read the magnetic strip. The employee was rude when I asked her to run my card again.  Called the bank, and they said there is no reason why my card should decline at starbucks, and this is the only place it does.  I love starbucks, but it's not worth the hassle and inconvenience, so I won't be back.",2014-12-13,19:26:05,"Food, Coffee & Tea",Tampa,FL,3.5,92,0.07500000000000001,2
